CoC,Count,"Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
AK-500,974,548,294,842,132,696,438,151,589,107,278,110,143,253,25,93,39,46,85,8,224,187,37
AK-501,668,350,195,545,123,366,180,122,302,64,302,170,73,243,59,97,56,24,80,17,54,34,20
AL-500,2104,465,775,"1,240",864,"1,529",393,440,833,696,575,72,335,407,168,228,31,122,153,75,516,269,247
AL-501,649,113,297,410,239,499,85,175,260,239,150,28,122,150,0,48,12,36,48,0,84,10,74
AL-502,265,13,118,131,134,143,10,83,93,50,122,3,35,38,84,38,1,9,10,28,8,0,8
AL-503,830,336,420,756,74,761,336,351,687,74,69,0,69,69,0,25,0,25,25,0,215,144,71
AL-504,456,107,224,331,125,392,99,171,270,122,64,8,53,61,3,25,3,21,24,1,108,39,69
AL-505,119,93,11,104,15,103,79,11,90,13,16,14,0,14,2,6,5,0,5,1,4,0,4
AL-506,345,39,293,332,13,294,36,249,285,9,51,3,44,47,4,10,1,8,9,1,15,15,0
AL-507,684,286,206,492,192,463,172,133,305,158,221,114,73,187,34,86,43,30,73,13,43,6,37
AR-500,1822,649,538,"1,187",635,"1,632",605,404,"1,009",623,190,44,134,178,12,61,15,43,58,3,491,300,191
AR-501,279,165,79,244,35,157,108,25,133,24,122,57,54,111,11,47,27,16,43,4,34,25,9
AR-502,163,11,48,59,104,87,9,10,19,68,76,2,38,40,36,26,2,15,17,9,15,0,15
AR-504,901,114,277,391,510,626,80,267,347,279,275,34,10,44,231,127,13,4,17,110,228,43,185
AR-505,130,102,18,120,10,35,23,9,32,3,95,79,9,88,7,24,19,3,22,2,25,25,0
AR-506,21,4,14,18,3,21,4,14,18,3,0,0,0,0,0,0,0,0,0,0,1,0,1
AR-508,194,87,60,147,47,157,59,52,111,46,37,28,8,36,1,17,10,6,16,1,35,15,20
AR-509,4,2,0,2,2,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,2
AR-510,322,117,0,117,205,268,95,0,95,173,54,22,0,22,32,22,11,0,11,11,20,0,20
AZ-500,2997,472,541,"1,013","1,984","2,235",266,266,532,"1,703",762,206,275,481,281,274,68,90,158,116,425,93,332
AZ-501,3201,687,"1,323","2,010","1,191","2,258",467,692,"1,159","1,099",943,220,631,851,92,301,75,194,269,32,890,150,740
AZ-502,8448,"2,775","2,820","5,595","2,853","5,527","1,679","1,053","2,732","2,795","2,921","1,096","1,767","2,863",58,884,320,544,864,20,"1,489",407,"1,082"
