CoC,Count,"Sheltered ES Homeless, 2009","Sheltered TH Homeless, 2009","Sheltered Total Homeless, 2009","Unsheltered Homeless, 2009","Overall Homeless Individuals, 2009","Sheltered ES Homeless Individuals, 2009","Sheltered TH Homeless Individuals, 2009","Sheltered Total Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Overall Homeless People in Families, 2009","Sheltered ES Homeless People in Families, 2009","Sheltered TH Homeless People in Families, 2009","Sheltered Total Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Overall Homeless Family Households, 2009","Sheltered ES Homeless Family Households, 2009","Sheltered TH Homeless Family Households, 2009","Sheltered Total Homeless Family Households, 2009","Unsheltered Homeless Family Households, 2009","Overall Chronically Homeless Individuals, 2009","Sheltered ES Chronically Homeless Individuals, 2009","Sheltered Total Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009"
AK-500,1267,638,472,"1,110",157,821,423,266,689,132,446,215,206,421,25,133,61,63,124,9,198,152,152,46
AK-501,725,371,184,555,170,418,203,97,300,118,307,168,87,255,52,104,57,29,86,18,125,93,93,32
AL-500,2273,372,697,"1,069","1,204","1,645",287,469,756,889,628,85,228,313,315,235,31,86,117,118,611,285,285,326
AL-501,747,200,211,411,336,572,112,140,252,320,175,88,71,159,16,57,28,22,50,7,73,34,34,39
AL-502,281,19,194,213,68,222,11,168,179,43,59,8,26,34,25,26,3,13,16,10,9,6,6,3
AL-503,664,306,268,574,90,578,302,186,488,90,86,4,82,86,0,27,2,25,27,0,287,208,208,79
AL-504,377,117,146,263,114,305,105,104,209,96,72,12,42,54,18,26,5,14,19,7,93,46,46,47
AL-505,433,111,196,307,126,333,71,165,236,97,100,40,31,71,29,41,17,12,29,12,33,23,23,10
AL-506,270,44,217,261,9,202,38,155,193,9,68,6,62,68,0,21,2,19,21,0,20,17,17,3
AL-507,1035,250,565,815,220,829,178,540,718,111,206,72,25,97,109,76,24,10,34,42,63,33,33,30
AR-500,1425,349,624,973,452,"1,179",302,433,735,444,246,47,191,238,8,66,18,46,64,2,70,54,54,16
AR-501,221,101,90,191,30,102,50,23,73,29,119,51,67,118,1,50,18,31,49,1,54,38,38,16
AR-502,146,26,8,34,112,98,18,8,26,72,48,8,0,8,40,16,3,0,3,13,16,3,3,13
AR-504,969,138,321,459,510,731,103,307,410,321,238,35,14,49,189,95,15,5,20,75,252,39,39,213
AR-505,51,33,18,51,0,31,21,10,31,0,20,12,8,20,0,7,4,3,7,0,12,12,12,0
AR-506,40,5,17,22,18,40,5,17,22,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2
AZ-500,3236,685,487,"1,172","2,064","2,217",388,201,589,"1,628","1,019",297,286,583,436,295,97,87,184,111,409,98,98,311
AZ-501,3596,807,"1,416","2,223","1,373","2,608",580,676,"1,256","1,352",988,227,740,967,21,308,72,229,301,7,927,171,171,756
AZ-502,7889,"2,528","2,443","4,971","2,918","5,134","1,484",962,"2,446","2,688","2,755","1,044","1,481","2,525",230,803,309,457,766,37,893,269,269,624
CA-500,7086,"1,078","1,025","2,103","4,983","6,078",840,321,"1,161","4,917","1,008",238,704,942,66,285,77,187,264,21,"2,270",195,195,"2,075"
