CoC,Count,"Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
AK-500,1231,667,446,0,"1,113",118,740,440,193,0,633,107,491,227,253,480,11,151,67,80,147,4,0,56,43,0,43,13
AK-501,632,346,212,0,558,74,378,201,119,0,320,58,254,145,93,238,16,93,46,43,89,4,0,108,76,0,76,32
AL-500,2273,372,697,0,"1,069","1,204","1,645",287,469,0,756,889,628,85,228,313,315,235,31,86,117,118,0,611,285,0,285,326
AL-501,883,168,314,0,482,401,540,72,137,0,209,331,343,96,177,273,70,131,34,78,112,19,0,68,18,0,18,50
AL-502,170,22,140,0,162,8,131,3,124,0,127,4,39,19,16,35,4,8,4,3,7,1,0,4,0,0,0,4
AL-503,819,308,337,0,645,174,678,259,259,0,518,160,141,49,78,127,14,48,17,28,45,3,0,203,127,0,127,76
AL-504,444,117,177,0,294,150,376,100,138,0,238,138,68,17,39,56,12,23,5,13,18,5,0,72,17,0,17,55
AL-505,370,179,115,0,294,76,221,108,67,0,175,46,149,71,48,119,30,60,29,19,48,12,0,4,2,0,2,2
AL-506,278,35,228,0,263,15,271,35,221,0,256,15,7,0,7,7,0,3,0,3,3,0,0,40,33,0,33,7
AL-507,809,227,455,0,682,127,691,133,445,0,578,113,118,94,10,104,14,43,35,4,39,4,0,41,20,0,20,21
