CoC,Count,"Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
AK-500,1223,574,508,0,"1,082",141,794,12,445,0,232,12,0,677,12,117,0,429,129,276,405,24,138,50,81,131,7,129,109,0,109,20,112,94,0,94,18,17,15,15,2,199,168,31
AK-501,905,461,217,0,678,227,492,9,258,8,107,0,0,365,8,127,1,413,203,110,313,100,139,74,35,109,30,124,85,0,85,39,114,75,0,75,39,10,10,10,0,89,68,21
AL-500,1950,348,642,34,"1,024",926,"1,445",49,286,13,375,0,34,695,13,750,36,505,62,267,329,176,175,16,83,99,76,564,115,34,149,415,536,104,34,138,398,28,11,11,17,281,110,171
AL-501,718,286,121,0,407,311,542,3,206,1,25,0,0,231,1,311,2,176,80,96,176,0,72,28,44,72,0,65,7,0,7,58,65,7,0,7,58,0,0,0,0,60,19,41
AL-502,244,6,228,0,234,10,219,0,6,0,203,0,0,209,0,10,0,25,0,25,25,0,9,0,9,9,0,6,0,0,0,6,3,0,0,0,3,3,0,0,3,5,1,4
AL-503,656,364,117,0,481,175,489,0,307,0,44,0,0,351,0,138,0,167,57,73,130,37,51,14,24,38,13,244,164,0,164,80,238,158,0,158,80,6,6,6,0,69,59,10
AL-504,433,73,214,0,287,146,333,0,65,0,133,0,0,198,0,135,0,100,8,81,89,11,30,2,25,27,3,84,12,0,12,72,82,12,0,12,70,2,0,0,2,59,34,25
AL-505,495,151,202,0,353,142,414,20,108,19,202,1,0,310,20,104,0,81,43,0,43,38,22,10,0,10,12,73,32,0,32,41,44,27,0,27,17,29,5,5,24,15,7,8
AL-506,265,52,184,0,236,29,257,41,52,4,176,31,0,228,35,29,6,8,0,8,8,0,3,0,3,3,0,37,33,0,33,4,37,33,0,33,4,0,0,0,0,107,107,0
AL-507,797,335,392,0,727,70,626,1,189,1,371,0,0,560,1,66,0,171,146,21,167,4,72,64,6,70,2,41,21,0,21,20,41,21,0,21,20,0,0,0,0,63,50,13
