CoC,Count
AK-500,1111
AK-501,796
AL-500,981
AL-501,505
AL-502,390
AL-503,464
AL-504,330
AL-505,224
AL-506,44
AL-507,323
AR-500,1066
AR-501,518
AR-503,811
AR-505,75
AR-508,247
AZ-500,2021
AZ-501,1372
AZ-502,6614
CA-500,9706
CA-501,8035
CA-502,8022
CA-503,5561
CA-504,2951
CA-505,2295
CA-506,2704
CA-507,1034
CA-508,2167
CA-509,785
CA-510,1923
CA-511,2631
CA-512,1512
CA-513,1064
CA-514,2508
CA-515,617
CA-516,1349
CA-517,322
CA-518,1151
CA-519,1266
CA-520,608
CA-521,655
CA-522,1702
CA-523,192
CA-524,721
CA-525,613
CA-526,845
CA-527,288
CA-529,408
CA-530,214
CA-531,415
CA-600,56257
CA-601,8102
CA-602,6860
CA-603,1803
CA-604,1330
CA-606,1894
CA-607,542
CA-608,2811
CA-609,2607
CA-611,1669
CA-612,243
CA-613,1413
CA-614,1483
CO-500,2302
CO-503,5755
CO-504,1562
CT-503,771
CT-505,2262
DC-500,6521
DE-500,921
FL-500,1135
FL-501,1650
FL-502,2415
FL-503,563
FL-504,875
FL-505,399
FL-506,966
FL-507,2010
FL-508,804
FL-509,1499
FL-510,1654
FL-511,518
FL-512,356
FL-513,815
FL-514,475
FL-515,488
FL-517,398
FL-518,538
FL-519,894
FL-520,677
FL-600,3472
FL-601,2803
FL-602,156
FL-603,372
FL-604,501
FL-605,1397
FL-606,498
GA-500,3217
GA-501,4183
GA-502,632
GA-503,237
GA-504,384
GA-505,278
GA-506,451
GA-507,686
GA-508,375
GU-500,875
HI-500,1995
HI-501,4417
IA-500,255
IA-501,1379
IA-502,681
ID-500,713
ID-501,1602
IL-500,159
IL-501,403
IL-502,252
IL-503,151
IL-504,101
IL-506,278
IL-507,285
IL-508,247
IL-510,5290
IL-511,897
IL-512,319
IL-513,284
IL-514,309
IL-515,94
IL-516,169
IL-517,388
IL-518,211
IL-519,68
IL-520,294
IN-502,3904
IN-503,1567
KS-502,593
KS-503,441
KS-505,189
KS-507,1056
KY-500,2221
KY-501,1071
KY-502,787
LA-500,360
LA-502,292
LA-503,1179
LA-505,188
LA-506,215
LA-507,114
LA-509,593
MA-500,6242
MA-502,1035
MA-503,371
MA-504,2443
MA-505,433
MA-506,1593
MA-507,546
MA-508,784
MA-509,555
MA-510,760
MA-511,1088
MA-515,320
MA-516,1918
MA-517,127
MA-519,256
MD-500,145
MD-501,2294
MD-502,228
MD-503,302
MD-504,201
MD-505,735
MD-506,144
MD-507,126
MD-508,306
MD-509,286
MD-510,12
MD-511,164
MD-512,249
MD-513,275
MD-600,447
MD-601,647
ME-500,2106
MI-500,1245
MI-501,1965
MI-502,222
MI-503,265
MI-504,425
MI-505,450
MI-506,759
MI-507,702
MI-508,476
MI-509,273
MI-510,364
MI-511,123
MI-512,168
MI-513,53
MI-514,241
MI-515,167
MI-516,136
MI-517,113
MI-518,89
MI-519,225
MI-523,114
MN-500,3400
MN-501,1579
MN-502,452
MN-503,686
MN-504,90
MN-505,679
MN-506,268
MN-508,216
MN-509,519
MN-511,88
MO-500,487
MO-501,1031
MO-503,438
MO-600,492
MO-602,237
MO-603,255
MO-604a,1979
MO-606,1362
MP-500,1807
MS-500,408
MS-501,480
MS-503,296
MT-500,1357
NC-500,454
NC-501,580
NC-502,361
NC-503,2989
NC-504,586
NC-505,1742
NC-506,431
NC-507,970
NC-509,324
NC-511,329
NC-513,131
NC-516,417
ND-500,557
NE-500,506
NE-501,1410
NE-502,449
NH-500,669
NH-501,461
NH-502,266
NJ-500,357
NJ-501,271
NJ-502,518
NJ-503,979
NJ-504,2235
NJ-506,890
NJ-507,620
NJ-508,359
NJ-509,388
NJ-510,305
NJ-511,391
NJ-512,29
NJ-513,301
NJ-514,448
NJ-515,437
NJ-516,334
NM-500,1524
NM-501,1717
NV-500,5530
NV-501,1256
NV-502,383
NY-500,849
NY-501,240
NY-503,750
NY-504,33
NY-505,732
NY-507,372
NY-508,924
NY-510,171
NY-511,318
NY-512,199
NY-513,205
NY-514,96
NY-516,164
NY-518,168
NY-519,200
NY-520,24
NY-522,53
NY-523,268
NY-525,168
NY-600,78604
NY-601,533
NY-602,589
NY-603,3843
NY-604,1812
NY-606,182
NY-607,162
NY-608,432
OH-500,1082
OH-501,611
OH-502,1618
OH-503,1907
OH-504,148
OH-505,681
OH-506,546
OH-507,3479
OH-508,273
OK-500,178
OK-501,1188
OK-502,1273
OK-503,279
OK-504,347
OK-505,228
OK-506,158
OK-507,293
OR-500,2165
OR-501,4015
OR-502,712
OR-503,880
OR-505,7103
OR-506,530
OR-507,471
PA-500,5735
PA-501,418
PA-502,400
PA-503,164
PA-504,246
PA-505,528
PA-506,597
PA-508,186
PA-509,1843
PA-510,422
PA-511,359
PA-512,321
PA-600,774
PA-601,727
PA-603,123
PA-605,356
PR-502,1345
PR-503,1190
RI-500,1055
SC-500,403
SC-501,1401
SC-502,1215
SC-503,1153
SD-500,995
TN-500,463
TN-501,1325
TN-502,800
TN-503,357
TN-504,1986
TN-506,273
TN-507,959
TN-509,405
TN-510,384
TN-512,515
TX-500,2872
TX-503,2255
TX-600,4538
TX-601,2028
TX-603,809
TX-604,193
TX-607,8072
TX-611,777
TX-624,243
TX-700,3938
TX-701,123
UT-500,1844
UT-503,793
UT-504,161
VA-500,497
VA-501,700
VA-502,319
VA-503,260
VA-504,165
VA-505,427
VA-507,119
VA-508,78
VA-513,342
VA-514,221
VA-521,761
VA-600,215
VA-601,1034
VA-602,167
VA-603,198
VA-604,280
VI-500,314
VT-500,780
VT-501,309
WA-500,11199
WA-501,5509
WA-502,1309
WA-503,1486
WA-504,1116
WA-508,958
WI-500,2875
WI-501,885
WI-502,200
WI-503,578
WV-500,136
WV-501,171
WV-503,293
WV-508,797
WY-500,548
